"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"83","Nein Mann - Radio Edit","Laserkraft 3D","SLAM! FM Presents Grand Slam! 2009 Volume 3 & 4","3:49","DEL711010086","https://open.spotify.com/track/3BJSfgwHm79wGKYjLVQlR3"
"84","Redbone","Childish Gambino","Redbone","5:27","USYAH1600107","https://open.spotify.com/track/1AlcpxsgzYwAJ1SfMPPWU4"
"85","Pokemon Go","XS Project","Pokemon Go","3:41","TCACQ1676727","https://open.spotify.com/track/7s7vlyqkV6x7tKr9nZv0Rd"
"86","Deeper - Original Mix","Grouch","Further","7:04","GBKQU1141277","https://open.spotify.com/track/6WoMub1PkuvnqffQTVQYdS"
"87","Hmu (feat. Clay Parnell & Rory "Sweet Boy" Dolan)","Space Jesus","Atom + Eve","4:07","TCABY1400287","https://open.spotify.com/track/5F3t5WgLyBX2W7un8IXiLD"
"88","The Way Life Should Be","Morten Granau","Music WithOut Borders, Chapter 1","7:02","IL4081000026","https://open.spotify.com/track/5vZC7p9GezRySkjGSrAMAt"
"89","Angels of Destruction - Neelix Remix","Phaxe","Angels of Destruction (Neelix Remix)","7:58","DEKC41400049","https://open.spotify.com/track/3fW0qHrlcv8y0pc6SHo66V"
"90","Indian Poem","Grand Soleil","This Is a Good Day","4:01","FR9W11502772","https://open.spotify.com/track/5SQvpg7jNxgrl8cg5MwwoB"
"91","Great Spirit","Armin van Buuren","Great Spirit","3:36","NLF711609190","https://open.spotify.com/track/3Nku6gLNqnwUuq8GLkqyhW"
"92","Lotus Heart - (Kalya Scintilla Remix)","Desert Dwellers","DownTemple Dub: Remixed","6:42","USWS41212607","https://open.spotify.com/track/2LSzJeZvwTflDa6A5lwV6n"
"93","Blow (Original Mix)","Clyde P","Sleep and Fuck - EP","6:41","FR9W11413452","https://open.spotify.com/track/44qEsx950epl7VNsN4KbNE"
"94","Zoom","Blastoyz","Blastoyz + Friends vol.2","6:41","BEY921607272","https://open.spotify.com/track/5r69A87KyL53dnEsT8GUNC"
"95","Trippin in Paris","Coming Soon!!!","Trippin in Paris","5:37","DEKC41600070","https://open.spotify.com/track/7o543DFDyRqg4QE6JUDzgw"
"96","Power of Acid","Ranji","Power of Acid - Single","9:08","DEGA21501842","https://open.spotify.com/track/7FbAwfXjDH8bW9rhNARU2E"
"97","Stand Up (Some Things'll Never Change)","Guru","Jazzmatazz Vol. 4: The Hip Hop Jazz Messenger (Back to the Future)","3:37","USZ820700003","https://open.spotify.com/track/6hV0FdkwUcQATaaZoTZTrU"
"98","ADHD","Royal Flush","ADHD","6:08","DEKC41400111","https://open.spotify.com/track/27e7QQ4ynx9CB6gnM53b4o"
"99","Jakob","Christopher Schwarzwälder","Akumal","6:57","DEH741211343","https://open.spotify.com/track/1xPVUJkHNhlgusF0VCjmqh"
