!!!;seen live;electronic;indie
Tirpa;hungarian hip-hop;unknown;unknown
Iron ;folk;seen live;indie folk
Theory of a Deadman;rock;alternative rock;post-grunge
Beowülf;crossover;thrash metal;hardcore
Emergency!;jazz;free jazz;japanese
Document One;dubstep;electronic;Filthstep
$IHENC;unknown;unknown;unknown
[unknown];mysterious;mistagged artist;unknown
Patrice Bäumel;minimal;tech house;techno
Aynell;unknown;unknown;unknown
Hermitude;instrumental hip-hop;Hip-Hop;downbeat
Rusty K;Drum and bass;neurofunk;dubstep
Ganga Giri;didgeridoo;tribal;Natural Trance
Young Rival;indie;indie rock;Canadian
Vintage Culture;deep house;nu disco;brazil
Shuggie Otis;soul;funk;blues
Elder Island;soul;chillout;electronic
WarChild;heavy metal;Swedish Heavy Metal;seen live
Axwell;House;dance;electronic
Left Boy;Hip-Hop;seen live;electro
Karma;electronic;downtempo;dance
Lane 8;House;electronic;chillwave
slowy;Hip-Hop;underground hip-hop;Deutschrap
The Donkeys;rock;seen live;Alt-country
Katalyst;Hip-Hop;australian;turntablism
Jacuzzi Boys;Garage Rock;Lo-Fi;garage
King Arthur;Soundtrack;electronic;Classical
Swishahouse;rap;Hip-Hop;texas
Space Buddha;psytrance;goa;psychedelic trance
Markus Homm;techno;tech house;electronic
Denyo;hip hop;german hiphop;Hip-Hop
Robin Schulz;electronic;dance;minimal
LVNDSCAPE;electronica;House;dutch
Lana Del Rey;female vocalists;indie;indie pop
Radikal Guru;dubstep;dub;reggae
FKY;Hardtek;tekno;hard techno
Matthew Koma;seen live;pop;singer-songwriter
Benorno;unknown;unknown;unknown
Classified;Hip-Hop;Canadian;rap
Set Your Goals;pop punk;melodic hardcore;hardcore
Alpha Boy;electronic;synthwave;Disco
Dan Farber;trap;electronic;electro
2Loud;dance;techno;club
Peter Fox;german;reggae;dancehall
De La Bass;electronica;dubstep;trap
Fatbabs;reggae;france;unknown
Jimmy the Squirrel;ska;under 2000 listeners;6 stars
King Dude;neofolk;folk;acoustic
La Fuente;seen live;Hip-Hop;african
Pythius;neurofunk;Drum and bass;techstep
Iccarus;unknown;unknown;unknown
Collapz;unknown;unknown;unknown
Gesaffelstein;techno;electronic;electro
Beats Antique;tribal fusion;electronic;world
Filtertypen;electronic;House;techno
mausio;electronic;unknown;unknown
Valentino Khan;electro;House;moombahton
Jacidorex;techno;Acid;acid techno
VESZETT VILÁG;unknown;unknown;unknown
Macky Gee;Drum and bass;jump up;dnb
Stephan Bodzin;minimal;minimal techno;techno
George F. Zimmer;Progressive House;trance;electronic
Chunda Munki;unknown;unknown;unknown
Spiritual Beggars;Stoner Rock;stoner metal;hard rock
Jack Parow;seen live;south africa;hip hop
Pham;downtempo;polish;trap
Oldtwig;downtempo;chillout;trip-hop
The Golden Islands;instrumental;ambient;unknown
Markandeya;unknown;unknown;unknown
Arnej;trance;progressive trance;melodic trance
Lyrics Born;Hip-Hop;rap;hip hop
Tarbay Roland;unknown;unknown;unknown
Kid Francescoli;french;indie;pop
Kyle Watson;House;carbon parlour;fidget house
Kiso;experimental;unknown;unknown
stand high;seen live;unknown;unknown
Nohidea;beats;Hip-Hop;instrumental hip-hop
Kiss;hard rock;classic rock;glam rock
Kylie Minogue;pop;dance;female vocalists
Studio Killers;electronic;electropop;seen live
Icona Pop;electronic;electropop;swedish
Wet Paint;seen live;indie;alternative
Eli;metalcore;christian;melodic metalcore
ATIP;Drum and bass;unknown;unknown
Ferdinand Dreyssig;electronic;techno;tech house
Ilai;psychedelic;psychedelic trance;psytrance
Genetikk;Deutschrap;rap;raaap
HGich.T;goa;seen live;Ja
Andrew Collberg;indie;acoustic;folk
VirTuaNoise;hi-tech;trance;italian
Timi Hendrix;Deutschrap;Hip-Hop;hip hop
1000mods;Stoner Rock;desert rock;stoner
Electric Universe;psytrance;goa;psychedelic
The Correspondents;swing;swing-hop;electro swing
Deca;darkwave;industrial;experimental
Emi;dance;pop;polish
Relativ;psytrance;psychedelic;psychedelic trance
Speakerbox;rock;party;House
Culprate;dubstep;electronic;idm
Lost In Space;Drum n Bass;portuguese;psytrance
ABSRDST;electronica;nintendo;8bit
Purson;Psychedelic Rock;occult rock;hard rock
Emancipator;trip-hop;downtempo;electronic
Maribou State;ambient;electronic;future garage
Petit biscuit;electronic;french;House
Alan Wilkis;synth-pop;electronic;electronica
Gorillaz;alternative;electronic;Hip-Hop
The Peoples String Foundation;folk;british;under 2000 listeners
Ken Ishii;techno;electronic;japanese
Bass Sultan Hengzt;Deutschrap;rap;hip hop
Monarchy;electronic;synthpop;electropop
Dj Alpha;eurodance;electronic;Drum and bass
Assassin;thrash metal;speed metal;Hip-Hop
Portugal. The Man;experimental;indie;seen live
Wanna Wake;unknown;unknown;unknown
Yes Sir Boss;punk;ska;glastonbury2009
Epsilons;Garage Rock;Lo-Fi;Garage Punk
Env;electronic;trance;synthpop
Unknown Brain;american;unknown;unknown
Evolution of Stars;ambient;instrumental;piano
Necro;Hip-Hop;Death Rap;Horrorcore
Built to Fade;abstract hip-hop;soul;trip-hop
Magic!;reggae;pop;Canadian
Jneiro Jarel;Hip-Hop;electronic;hip hop
Bojack's Theme;unknown;unknown;unknown
Lil Xan;cloud rap;Hip-Hop;rap
mujo;beats;instrumental hip-hop;Hip-Hop
Kahn;dubstep;future garage;downtempo
Superpoze;downtempo;trip hop;electronic
GentleBeatz;chillwave;chillhop;unknown
Umami;electronic;Drum and bass;minimal
Yestermorrow;trance;instrumental;epic
Ali A$;rap;german rap;Deutschrap
Clubroot;dubstep;ambient;electronic
Cosculluela;Reggaeton;cosculluela;Hip-Hop
John Mayall;blues;blues rock;British Blues
Man or Astro-Man?;Surf;surf rock;instrumental
Lluvia del Bosque;Nature;nature sounds;sounds of nature
NAPKEY;electronic;dance;electronica
Yung Mavu;hip hop;rap;Belgium
Rilès;rap;Hip-Hop;french
Rezz;electronic;seen live;Dark Techno
Gammer;happy hardcore;uk Hardcore;hardcore
Gasoline;abstract hip-hop;Hip-Hop;experimental
La Phaze-Mouss(Zebda)-Hakim(Zebda);incorrect artist tag on spotify;unknown;unknown
BAYNK;british;All;nu-disco
Cashmere Cat;electronic;chillwave;seen live
Action Bronson;Hip-Hop;rap;seen live
Active Member;low bap;Hip-Hop;greek hip-hop
Ratatat;electronic;instrumental;indie
David Guetta;House;dance;electronic
Sara Lugo;reggae;german;soul
Kosmo;lithuanian;pop;female vocalists
Sian;minimal;downtempo;minimal techno
Jacky Murda;Ragga Jungle;jungle;Drum and bass
Møme;electronic;chillwave;french
Axial Tilt;psytrance;unknown;unknown
DREZO;bassline;electronic superhighway;basshouse
Sean Price feat. Starang Wondah and Steele;unknown;unknown;unknown
Eskimo;psytrance;psychedelic trance;psychedelic
Kenai;post-hardcore;seen live;screamo
Oldy Clap Recordz;instrumental hip-hop;french hip-hop;jazz
Melanin 9;underground hip-hop;UK hip-hop;UK
Kasabian;indie;indie rock;british
St. Germain;chillout;acid jazz;electronic
Jazz Liberatorz;Jazz Hop;Hip-Hop;jazz
AKA AKA;minimal;minimal techno;tech house
Pushloop;dubstep;dark;deep
Arjun Vagale;electronic;House;progressive trance
Big Gigantic;electronic;dubstep;seen live
Zedd;electronic;electro house;House
Black Mountain;Psychedelic Rock;indie rock;psychedelic
Bio Babas;trance;electronic;psychedelic
DJ OGURETZ;seen live;electronic;House
Calvin Harris;electronic;dance;electro
Bobby McFerrin;jazz;reggae;vocal
Doctor Flake;trip-hop;experimental;electronic
The Oscillation;Psychedelic Rock;krautrock;psychedelic
Oasis;britpop;rock;british
Indian Handcrafts;Stoner Rock;noise rock;Sludge
MattyBoh;unknown;unknown;unknown
Thomas Gold;House;electronic;electro house
Avrosse;minimal techno;techno;minimal
Litek;unknown;unknown;unknown
The Banyans;reggae;folk;All
Sidney Samson;House;electro;dance
Dirty Beaches;Lo-Fi;psychedelic;experimental
MBrother;dance;techno;polish
The White Stripes;rock;alternative;alternative rock
Oliver Huntemann;minimal;techno;minimal techno
Commodo;dubstep;deep dubstep;electronic
Takatsugu Wada;unknown;unknown;unknown
Ellen Allien;electronic;techno;minimal
Jamaram;reggae;german reggae;seen live
Dr.Oscillator;unknown;unknown;unknown
Angerfist;hardcore;Gabber;hardcore techno
Astron;psy;chillout;alternative
Tin Roots;reggae;happy;catchy
Cherry Glazerr;indie;female vocalists;seen live
Raging Fyah;reggae;roots;jamaica
Inkyz;trap;chill trap;vocal trap
Class A;dance;House;goa
Good Charlotte;punk rock;pop punk;rock
Daniel Steinberg;minimal;techno;minimal techno
Sun Araw;psychedelic;drone;experimental
LeKtriQue;electronic;dubstep;electro house
Björn Peng;seen live;electronic;electropunk
GReeeeN;j-pop;japanese;JPop
Immortal Technique;Hip-Hop;rap;underground hip-hop
karl hungus;unknown;unknown;unknown
The Trammps;Disco;funk;soul
Hilight Tribe;Natural Trance;tribal;psytrance
Mc TH;funk;Urban conceitual;hard rock
SNBRN;electronic;USA;House
Vato Gonzalez;dirty house;House;seen live
Los Natas;Stoner Rock;Psychedelic Rock;stoner
Cuthead;Hip-Hop;House;breakbeat
Lucio Aquilina;minimal;minimal techno;techno
Ronald Jenkees;electronic;instrumental;keyboard
Steve Aoki;electronic;electro;seen live
Tiger Love;electronic;synthpop;british
Krushed 'n' Sorted;dub;jungle;south african
Flight of the Conchords;comedy;guitar-based digi-bongo acapella-rap-funk-comedy folk duo;folk
Stavroz;electronic;deep house;seen live
Pondora;unknown;unknown;unknown
Enrique Iglesias;pop;latin;spanish
Johann Sebastian Bach;Classical;baroque;instrumental
Anton Dhouran;unknown;unknown;unknown
Kana;japanese;J-rock;visual kei
Queen Elephantine;Stoner Rock;doom metal;Psychedelic Rock
Len Faki;techno;minimal;minimal techno
Paula Cazenave;techno;hard techno;techno hard techno minimal techno hardgroove industrial deep techno techno house paula cazenave djane paula barcelona
Waylon Jennings;country;outlaw country;classic country
Ella Vos;indie pop;indie;pop
Butch Cassidy Sound System;dub;reggae;electronic
LOUDPVCK;trap;electronic;bass
XV Kilist;psytrance;goa;psy
Audio Dope;nu jazz;Hip-Hop;electro
Black Tiger Sex Machine;electro;club house;hard electro
TM Juke;downtempo;trip-hop;electronic
Radiohead;alternative;alternative rock;rock
Nosaj Thing;electronic;glitch-hop;ambient
Wakefields;unknown;unknown;unknown
Sido;rap;Deutschrap;hip hop
Cusco;new age;instrumental;pan flute
Hiem;electro;electronic;Electroclash
Seven Lions;dubstep;electronic;trance
AllttA;rap;Hip-Hop;electro
Valient Thorr;hard rock;seen live;Stoner Rock
Basshunter;dance;electronic;techno
Darude;trance;electronic;dance
The Black Keys;blues rock;blues;rock
Nelly;Hip-Hop;rap;rnb
Champion;hardcore;Straight Edge;hardcore punk
Otem Rellik;abstract hip-hop;Hip-Hop;experimental
Juan Quin Y Dago;unknown;unknown;unknown
REEZPIN;unknown;unknown;unknown
Beak>;krautrock;experimental;psychedelic
The Chordettes;50s;oldies;doo wop
Nosliw;reggae;dancehall;german
Shoxe;unknown;unknown;unknown
MULATÓ AZTÉKOK;Hip-Hop;jazz;hip hop
Azizi Gibson;Hip-Hop;rap;underground hip-hop
Cari Lekebusch;techno;electronic;minimal
$uicideboy$;cloud rap;Hip-Hop;rap
obi1;unknown;unknown;unknown
Dels;Hip-Hop;Grime;electro
BeardyMan;seen live;beatbox;Hip-Hop
Vatican Shadow;industrial;electronic;experimental
Faux Tales;dubstep;chillstep;melodic dubstep
SpaceGhostPurrp;Hip-Hop;rap;Lo-Fi
Interpol;indie;indie rock;post-punk
Windhand;doom metal;stoner metal;stoner doom
P-Money;Hip-Hop;Grime;New Zealand
Deadboy;dubstep;future garage;electronic
Tei Shi;female vocalists;pop;indie
Paul White;Hip-Hop;electronic;beats
Fatoni;rap;german hiphop;Deutschrap
OJM;Stoner Rock;Psychedelic Rock;italian
Green Assassin Dollar;beats;hip hop;instrumental
Uone;minimal;tech-house;unknown
Bumcello;french;electronic;jazz
Alpha Portal;psytrance;trance;psychedelic trance
Distinct Motive;dubstep;dark;deep
Battles;math rock;experimental;seen live
Joshi Mizu;Hip-Hop;seen live;rap
Bodega;folk;seen live;celtic
Noah Kin;seen live;Hip-Hop;finnish
Fukkk Offf;electro;electronic;dance
Pixelord;electronic;wonky;glitch
Dzhamaldin Bisliev;unknown;unknown;unknown
Stig Of The Dump;underground hip-hop;Hip-Hop;rap
Antarctic;math rock;instrumental;post-rock
Mophono;Hip-Hop;electronic;trip-hop
Prago Union;Hip-Hop;seen live;Czech
Charly Black;dancehall;jamaica;spotify
Dela;Hip-Hop;Jazz Hop;instrumental hip-hop
FKA twigs;trip-hop;electronic;experimental
Birat Bitz;unknown;unknown;unknown
The Upbeats;Drum and bass;neurofunk;dnb
Guano Apes;rock;alternative rock;alternative
Belleruche;trip-hop;nu jazz;soul
Grand Analog;Hip-Hop;reggae;seen live
Cali Agents;Hip-Hop;rap;underground hip-hop
Sonic Species;psychedelic trance;psytrance;progressive trance
q.ltur;unknown;unknown;unknown
Flo Mega;soul;funk;german
Direct;dubstep;chillstep;glitch hop
Adrian Lux;House;electronic;swedish
juse ju;seen live;Hip-Hop;rap
Döll;seen live;rap;Deutschrap
The/Das;seen live;electronica;electronic
Elder;doom metal;stoner metal;stoner doom
Nebula-H;ebm;industrial;futurepop
Oscar and the Wolf;seen live;belgian;dream pop
Smooth;trip-hop;electronic;Drum and bass
Frank Black and the Catholics;rock;alternative;alternative rock
ShockOne;Drum and bass;dubstep;electronic
Agar Agar;synthpop;french;france
Triptik;Hip-Hop;rap;french rap
Fid Mella;instrumental hip-hop;Hip-Hop;hip hop
Emmacy;unknown;unknown;unknown
Criminal Vibes;House;electro house;electro
Hillsong United;christian;worship;christian rock
Buffalo Springfield;classic rock;folk rock;60s
Ferdinand Weber;unknown;unknown;unknown
Lil Boosie;rap;Dirty South;Hip-Hop
Bass Boosted;unknown;unknown;unknown
Absolute Beginner;hip hop;german;Hip-Hop
Savant;dubstep;electronic;complextro
K-Paul;seen live;dance;electronic
Molecule;dub;electronic;downtempo
Jazz Spastiks;Hip-Hop;Jazz Hop;underground hip-hop
Olav Basoski;House;dance;club
Abel Miller;rnb;male vocalists;Abel Miller
mat weasel;Hardfloor;freetekno;tribetek
Spoon;indie;indie rock;seen live
Dreadnut Inc.;reggae;ska;dancehall
Pavel Petrov;minimal house;minimal;deep house
PMS23;unknown;unknown;unknown
John Denver;country;folk;singer-songwriter
Aquilo;indie;electronic;indie rock
Vast;alternative;alternative rock;rock
Junge Junge;dance;electronic;jungle
Ronny Trettmann;reggae;dancehall;german
Odiseo;progressive trance;psytrance;progressive psytrance
Guaia Guaia;electro;seen live;Electro Pop
The Vliets;minimalism;synth rock;psychedelic
Border Crossing;trip-hop;seen live;Hip-Hop
Florian Meindl feat. Ricardo Phillips;unknown;unknown;unknown
The Sound Defects;instrumental hip-hop;funk;trip-hop
Mokushi;animecore;hardcore;powernoise
Karriem Riggins;Hip-Hop;jazz;funk
Cosmo Sheldrake;electronic;folktronica;seen live
Milky Chance;indie;indie rock;seen live
Karmon;deep house;House;electronic
Soul Revolution;House;unknown;unknown
Dualmind;unknown;unknown;unknown
Dario Rodriguez;germany;german;unknown
BLAISE MOORE;female vocalists;downtempo;rnb
Ziggi Recado;reggae;seen live;roots
Low Steppa;House;electronic;deep house
Tricky;trip-hop;electronic;downtempo
Petey Clicks;unknown;unknown;unknown
Psibindi;vocals;psy trance;aphid records
Dimitri Vegas ;electronic;dance;The worst thing ever to happen to electronic music
Al'Tarba;underground hip-hop;Hip-Hop;french
Leyan;seen live;indie;pop
Lostboycrow;pop;soul;alternative soul
Menahan Street Band;funk;soul;jazz
Fort Knox Five;funk;breakbeat;lounge
Antonio Giacca;future house;unknown;unknown
Squarespace;square;unknown;unknown
Fionn Regan;folk;singer-songwriter;acoustic
Emmit Fenn;chillout;electronic;ambient
Bosphore;unknown;unknown;unknown
Dead Rabbit;seen live;hip hop;Marsimoto
DJ Crazy J Rodriguez;mashup;trilby;DANK BEATS
Scrimshire;jazz;nu jazz;soul
Ludacris;rap;Hip-Hop;Dirty South
emune;Hip-Hop;Lo-Fi;instrumental hip-hop
Mekkanikka;psytrance;full-on;psychedelic trance
Hardwell;House;Progressive House;electro house
Trey Songz;rnb;soul;male vocalists
Subtle;Hip-Hop;experimental;anticon
Spotify;evil;son of a bitch;commercial
Cybordelics;trance;techno;Harthouse
Louis Tomlinson;pop;british;one direction
Belzebong;doom metal;stoner metal;stoner doom
ManGoRise;unknown;unknown;unknown
Jolie Cocquine;unknown;unknown;unknown
George Jones;country;classic country;singer-songwriter
Lucky Hz;unknown;unknown;unknown
Looptroop Rockers;Hip-Hop;seen live;swedish
Destructo;seen live;electronic;Drum and bass
Dr. Surabi;unknown;unknown;unknown
Fakear;trip-hop;electronic;french
Art Melody;burkina faso;Hip-Hop;underground hip-hop
Dreadsquad;dancehall;reggae;ragga
Wilderness Crew;Hip-Hop;indie hip-hop;indie
Zomblaze;abstract hip-hop;Hip-Hop;hungarian
Sustain Release;Hardtek;unknown;unknown
Xerox;psytrance;goa;psychedelic trance
Karuzo;unknown;unknown;unknown
Mr. Carmack;trap;electronic;instrumental
Gustavo Mota;deep house;electro;techno
Blend Crafters;turntablism;Hip-Hop;hip hop
Nok;psytrance;psychedelic;psychedelic trance
Jamiroquai;funk;acid jazz;electronic
Minupren;schranz;hard techno;HardTechno
Kanine;Drum and bass;jump up;dnb
Telefon Tel Aviv;idm;electronic;ambient
Derango;darkpsy;psytrance;psychedelic
Moka Only;Hip-Hop;underground hip-hop;Canadian
Deniz Kurtel;deep house;House;tech house
BABYMETAL;kawaii metal;metal;japanese
The Black Seeds;reggae;dub;New Zealand
Edison;Soundtrack;japanese;anime
Eminem;rap;Hip-Hop;Eminem
Nostalgia 77;jazz;acid jazz;nu jazz
Dr Cryptic;bassline;electronic;UK
The Head and the Heart;folk;indie;alternative
Kylesa;Sludge;sludge metal;hardcore
Svinkels;Hip-Hop;french;rap
New Groove Formation;reggae;funk;ska
Metrickz;Deutschrap;Metrickz Rap Deutsch;rap
Gianni Marino;House;electro house;Ariana Grande
Future Islands;seen live;new wave;electronic
The Blue Angel Lounge;shoegaze;psychedelic;Psychedelic Rock
Seno Narkotek;tribe;Hardtek;unknown
Wilczynski;hip hop;instrumental;trip hop
The Soft Moon;post-punk;shoegaze;coldwave
knowmadic;beats;instrumental hip-hop;Hip-Hop
Eternal Basement;trance;techno;psytrance
Solee;minimal;techno;neotrance
CHRIS SHAPE;unknown;unknown;unknown
James Vincent McMorrow;folk;singer-songwriter;indie
Golden Void;Psychedelic Rock;hard rock;rock
Noisy Stylus;turntablism;Hip-Hop;hip hop
Psysex;psytrance;psychedelic;goa
Freakaholics;prog;psytrance;full on
Marko Dragan Zecevic;dub;Drum and bass;trap
Glass Animals;electronic;seen live;trip-hop
Aero Chord;trap;dubstep;electronic
Mount Carmel;blues rock;Stoner Rock;Psychedelic Rock
AKADO;industrial;visual kei;Nu Metal
RaymanRave;trance;techno;hands up
Congo Natty;jungle;Ragga Jungle;Drum and bass
zuper;electronic;experimental;blues
High Contrast;Drum and bass;liquid funk;dnb
Diversion;hardcore;punk;punk rock
Majistrate;Drum and bass;jump up;dnb
Serial Killaz;Drum and bass;jungle;hardcore
Bodybangers;House;electro;pop
The Prototypes;Drum and bass;indie;british
NOCCE;unknown;unknown;unknown
Deti;experimental;techno;Simon Phoenix
Leah McFall;pop;female vocalists;british
Farflung;space rock;Psychedelic Rock;Stoner Rock
Recondite;techno;House;electronic
Basenji;electronic;future bass;bass
Shay Lia;rnb;france;ish
Olson;Deutschrap;rap;seen live
MCNZI;unknown;unknown;unknown
Kontra K;Deutschrap;rap;german
Kommando Elefant;seen live;indie;pop
Audiophonic;unknown;unknown;unknown
Dark Sky;dubstep;electronic;future garage
Gypsy Jazz Caravan;All;instrumental;swing
Yoel Lewis;progressive trance;trance;electronic
Dan Mangan;seen live;Canadian;singer-songwriter
Twelve Sessions;psytrance;progressive trance;unknown
Glowsun;Stoner Rock;Psychedelic Rock;psychedelic
The Outsiders;Garage Rock;60s;psychedelic
Y;powerviolence;grindcore;experimental
Saba;hip hop;seen live;chicago
Probe;heavy metal;Power metal;60s
Dessert;japanese;j-pop;suicide club
The Glass Half;lzo;unknown;unknown
Throttle;House;electronic;seen live
C@ in the H@;unknown;unknown;unknown
ESPRIT 空想;vaporwave;chillwave;electronic
Siro;trip-hop;hip hop;unknown
2Pac;rap;Hip-Hop;Gangsta Rap
Tufu;rap;hip hop;Deutschrap
5 majeur;Hip-Hop;rap;french rap
Roy Woods;rnb;ovo;Hip-Hop
mansionz;Hip-Hop;duos;All
Betty Ford Boys;hip hop;beats;instrumental
Taiwan Mc;reggae;Hip-Hop;french
Haddaway;dance;eurodance;90s
Professor Murder;seen live;post-punk;indie
Swollen Members;Hip-Hop;rap;hip hop
Frank Hemd;Hip-Hop;rap;hiphop
Passage;anticon;doom metal;experimental
Champagne Drip;unknown;unknown;unknown
Dafuniks;trip-hop;chill out;Hip-Hop
Mattafix;Hip-Hop;trip-hop;reggae
Capitol 1212;rap;Scottish;riotstep
Firestore;piano;unknown;unknown
Ali A$;rap;german rap;Deutschrap
Isaac Hayes;soul;funk;rhythm and blues
Gunjah;electronic;seen live;german
Tycho;ambient;electronic;idm
Dj Guv;jump up;Drum and bass;UK
Wen;Grime;dubstep;electronic
Axel Flovent;icelandic;seen live;indie
Year Long Disaster;Stoner Rock;hard rock;seen live
Gentleman's Dub Club;dub;reggae;ska
Sahara Surfers;Stoner Rock;desert rock;Progressive rock
Veedel Kaztro;seen live;hip hop;Hip-Hop
Lia Marie Johnson;pop;female vocalists;dance
ZHI16;unknown;unknown;unknown
Leaf;trip-hop;seen live;pop
Sofa Surfers;downtempo;trip-hop;electronic
Witch;Stoner Rock;doom metal;psychedelic
WHITENO1SE;unknown;unknown;unknown
Flow Box;psytrance;swiss;unknown
Homestead Slim;electronic;hip hop;rap
Wu-Tang Clan;Hip-Hop;rap;hip hop
Melokind;minimal;electronic;seen live
Bassjackers;House;electro house;electronic
A Boogie Wit da Hoodie;Hip-Hop;rap;new york
raisa khan;unknown;unknown;unknown
bluntone;instrumental hip-hop;beats;instrumental
Point Point;electronic;wonky;experimental
Intinn;reggae;Drum n Bass;irish
Hatikva 6;seen live;Israel;spotify
Filewile;electronic;dub;swiss
Pan-Pot;minimal;minimal techno;techno
Time Traveling Terrapin;guitar;flute;free
Black Bombaim;Stoner Rock;Psychedelic Rock;instrumental
El Michels Affair;funk;soul;jazz
STLNDRMS;unknown;unknown;unknown
Freelance Whales;indie;indie pop;folk
Abi Ocia;british;rnb;unknown
Daniel Avery;techno;electronic;House
Arkaiis;unknown;unknown;unknown
Erik Satie;Classical;piano;Impressionist
Saez;french;rock;French rock
Death Grips;Hip-Hop;experimental;experimental rap
A. Skillz;Hip-Hop;electronic;breaks
Teddy Killerz;Drum and bass;neurofunk;dubstep
Diaz Grimm;hip hop;New Zealand;unknown
Rygby;unknown;unknown;unknown
Lazy Jay;electronic;electro;House
Marc Spence;unknown;unknown;unknown
Trent Cantrelle;techno;House;electro house
The Glitch Mob;glitch;electronic;glitch-hop
Fifth Harmony;pop;female vocalists;X factor
Dead Meadow;Stoner Rock;psychedelic;Psychedelic Rock
Lords of the Underground;Hip-Hop;underground hip-hop;rap
IAmChino;world;latin;Reggaeton
Zac Waters;electronic;electro house;unknown
Python;Progressive House;House;tech house
Porter Robinson;electro house;dubstep;electronic
Sultan Bathery;psychedelic;Garage Rock;Psychedelic Rock
4i20;progressive trance;unknown;unknown
ozoyo;instrumental hip-hop;Hip-Hop;electronic
Pauline Croze;french;female vocalists;chanson francaise
Vigiland;trap;dance;electronic
Thrupence;ambient;electronic;chillout
Prisma Circus;Psychedelic Rock;blues rock;heavy psych
The People's Temple;Garage Rock;Psychedelic Rock;psychedelic
WOOBEDUB;dub;Drum n Bass;unknown
Busy Signal;dancehall;reggae;ragga
Ennio Morricone;Soundtrack;instrumental;Classical
One Fifty Vibes;unknown;unknown;unknown
Scarecrow;horror punk;dubstep;darkwave
Xavier Omär;soul;rnb;pop
I Hate Models;techno;Industrial Techno;ebm
Kona Triangle;idm;ambient;glitch
Omnia;folk;celtic;medieval
Yuksek;electro;electronic;french
Lorne Balfe;Soundtrack;instrumental;video game music
Sahg;doom metal;stoner metal;Stoner Rock
We Are The City;indie;Canadian;rock
Patrice;reggae;seen live;german
Dope D.O.D.;Hip-Hop;Grime;underground hip-hop
Dub Gabriel;dub;dubstep;electronica
Morgen;Psychedelic Rock;psychedelic;garage
Tumi;Hip-Hop;south african;south african hip-hop
Eight Sin;progressive trance;goa;psytrance
Dislike;grindcore;Crust;emocore
Visionaries;Hip-Hop;underground hip-hop;hip hop
Big Moe;rap;Dirty South;Houston
Geo Da Silva;House;electronic;club
Todd Terje;space disco;electronic;nu disco
Chukiess;unknown;unknown;unknown
Sabira Jade;seen live;unknown;unknown
Polo;french;chanson;chanson francaise
Tezla;progressive trance;electronic;unknown
Unders;electronic;unknown;unknown
Phace;Drum and bass;neurofunk;dnb
Yahel;psytrance;trance;psychedelic
3D-Ghost;psytrance;unknown;unknown
Anthony Hamilton ;unknown;unknown;unknown
The Whip;electronic;indie;electro
Hey Marseilles;folk;indie;acoustic
Youthstar;Hip-Hop;seen live;rap
Lord Dying;Sludge;sludge metal;doom metal
Modest Mouse;indie;indie rock;alternative
Mustard Pimp;electro;electronic;fidget house
Seinabo Sey;soul;seen live;swedish
The Pointer Sisters;Disco;80s;pop
Andrea Oliva;minimal;techno;House
Teddy Cream;melbourne;melbourne trance;melbourne bounce
Eddie Vedder;singer-songwriter;Grunge;rock
Mononome;trip-hop;instrumental hip-hop;dusted wax kingdom
Apathy;Hip-Hop;underground hip-hop;rap
Shlohmo;experimental;electronic;glitch-hop
Saivor;trance;minimal;psytrance
Auto!Automatic!!;math rock;post-rock;instrumental
Nikelodeon;psy-trance;psytrance;unknown
Weed;Psychedelic Rock;krautrock;Progressive rock
Joe Dukie;electronica;roots reggae;unknown
Daniel Dubb;deep house;House;tech house
Sahtyre;rap;Hip-Hop;hip hop
VELIAL SQUAD;underground rap;occult;Horrorcore
Swans;post-punk;industrial;experimental
GMS;psytrance;goa;psychedelic
Said;rock;japanese;alternative
Arrested Development;Hip-Hop;hip hop;rap
Clockwork;Progressive metal;electronic;House
K.I.Z.;rap;seen live;Deutschrap
Kronfeld;progressive psytrance;trance;electronic
Sara Farell;country;pop;indie
Ween;alternative;experimental;rock
Halott Pénz;hungarian;seen live;hungary
Barry Brown;reggae;dub;roots reggae
Kid Cudi;Hip-Hop;rap;alternative rap
Knowmads;underground hip-hop;Hip-Hop;soulful hip-hop
Josh Butler;minimal;tech house;electronic
Tribal Seeds;reggae;dub;roots
Amelie Lens;techno;belgian;trance
Onra;instrumental hip-hop;Hip-Hop;electronic
Colocks;reggae;french;french reggae
Liquid Stranger;dubstep;dub;ambient
Pyramidal;Psychedelic Rock;space rock;Stoner Rock
Violent Soho;Grunge;alternative rock;australian
Gangthelabel;Hip-Hop;unknown;unknown
Netsky;Drum and bass;liquid funk;breakbeat
SALES;Lo-Fi;minimal rock;seen live
Teknambul;Drum and bass;tekno;oldskool
The Handsome Family;Alt-country;country;folk
Hypnotic Brass Ensemble;jazz;funk;brass
Red Hot Chili Peppers;rock;alternative rock;alternative
DEVILGOD;unknown;unknown;unknown
Sic Alps;Lo-Fi;psychedelic;noise rock
Chip tha Ripper;rap;Hip-Hop;Ohio
Ghostface Killah;Hip-Hop;rap;wu-tang
Les Monstroplantes;french;electro;Lyon
Charm's;unknown;unknown;unknown
Blundetto;reggae;dub;funk
Prosectura;punk;hungarian;punk rock
Rafael Starcevic;unknown;unknown;unknown
Joe Ford;Drum and bass;neurofunk;electronic
