!!!;seen live;electronic;indie
Them Crooked Vultures;hard rock;Stoner Rock;rock
Neokontrol;psytrance;hi-tech;hitech
Vök;icelandic;electronic;seen live
Mad Q;chillout;downtempo;slow
MAU5TRAP;unknown;unknown;unknown
Alex Clare;dubstep;electronic;soul
ProleteR;instrumental hip-hop;french;chillout
Protassov feat. Bajka;spotify;unknown;unknown
Travi$ Scott;Hip-Hop;rap;trap
Labo 14;Hardtek;tribe;techno
White Flight;experimental;indie;psychedelic
louis logic;Hip-Hop;hip hop;rap
UNKLE;trip-hop;electronic;downtempo
Contact Play;Hip-Hop;UK hip-hop;UK hip hop
Distinkt;unknown;unknown;unknown
Ben Dust;techno;unknown;unknown
Fleetwood Mac;classic rock;rock;70s
NMZS;hip hop;rap;political
Arius;death metal;indie rock;american
Tom Fire;reggae;dub;unknown
Arthur H;french;chanson francaise;nouvelle scene francaise
NERVO;dance;House;electronic
Zipera;rap;Hip-Hop;Polski Hip Hop
Aim;trip-hop;chillout;downtempo
Cape Town Effects;electro;afrobeat;unknown
Capital Monkey;psytrance;progressive psytrance;trance
Angus ;seen live;folk;indie
Color Climax;funk;nu jazz funk;nu jazz
Neroche;trip-hop;downtempo;instrumental
Drumsound ;unknown;unknown;unknown
Pilocka Krach;electronic;electro;Berlin
Made in M;beats;hip hop;instrumental
Krs One El Da Sensei;unknown;unknown;unknown
Benji;reggae;dubstep;ragga
Das EFX;Hip-Hop;rap;old school
Mefjus;neurofunk;Drum and bass;seen live
Mc Dudu;funk;merda;Bosta
Kanka;dub;dubstep;reggae
Marvin Gaye;soul;motown;funk
